Model,BLEU,ROUGE-L,Perplexity,Inference Time (ms),Model Size (MB)
GPT-2,0.2548,0.3412,29.45,18.32,487.56
GPT-2 Medium,0.2891,0.3687,22.18,34.71,1421.48
DistilGPT-2,0.2315,0.3198,36.72,9.84,331.24
BLOOM-560M,0.2672,0.3521,27.33,28.45,1065.32
OPT-350M,0.2734,0.3589,25.61,22.18,662.78
Pythia-410M,0.2689,0.3478,26.84,24.56,789.45
